"GPUName","GPUPrice","GPUScore"
"GeForce 6600 GT",64.95,142
"FirePro 2270",134,142
"Mobility Radeon HD 4570",75.9,142
"GeForce 6800 GT",NA,142
"EG PARK",NA,141
"RADEON HD 6350",59,140
"Radeon HD 4290",NA,140
"Radeon X1800 GTO",NA,140
"Radeon HD 6290M",NA,140
"Mobility Radeon HD 3650",73.53,140
"nForce 760i SLI",NA,140
"NVS 2100M",NA,139
"Intel Haswell HD - GT2",NA,139
"GeForce 8500 GT",NA,139
"GeForce 6800 Ultra",NA,138
"Radeon HD 8180",NA,138
"Intel B43 Express Chipset",NA,138
"GeForce Go 6800 Ultra",NA,137
"GeForce 9650M GT",117.3,137
"Radeon X1900 CrossFire Edition",NA,137
"GeForce 7300 GT",149.99,136
"Radeon HD 5450",68.4,136
"GeForce G200",NA,136
"Quadro NVS 160M",NA,135
"GeForce 9600M GT",78.2,135
"Mobility Radeon HD 4330",NA,135
"Radeon HD 4350",50.99,135
"Mobility Radeon X1900",NA,134
"GeForce 310",108.35,134
"GeForce 9800 GT 1024MB",NA,134
"EAH5450",109.99,134
"GeForce 9500M GS",NA,134
"GeForce 7650 GS",NA,134
"VIA/S3G C-645/640 GPU",NA,132
"Quadro FX 1600M",149.9,131
"GeForce 9600M GS",NA,130
"MOBILITY RADEON X1800",NA,130
"RADEON X800 SE",NA,129
"GeForce 9300 / nForce 730i",NA,128
"FireGL V7300",1189.99,128
"Radeon HD 7310",NA,128
"GeForce Go 7600",NA,127
"All-in-Wonder X1900",NA,127
"GeForce 9300",59,126
"Radeon HD 3300",NA,126
"Qualcomm Adreno 618 GPU",NA,126
"GeForce 205",NA,126
"Intel G41 Express Chipset",NA,125
"Seria Mobility Radeon HD 3400",NA,124
"GeForce 8700M GT",NA,124
"Quadro FX 1400",245.01,124
"Radeon HD 7290M",NA,123
"GeForce 6800 XT",NA,123
"Intel Haswell HD - GT1",NA,123
"GeForce 8600 GT",196,123
"Quadro FX 380 LP",NA,122
"Radeon HD 4250",NA,122
"Radeon HD 6310",NA,122
"Intel G45/G43 Express Chipset",NA,122
"GeForce GT 220M",NA,121
"NVS 300",62.97,121
"GeForce 9500M G",NA,121
"GeForce G105M",NA,121
"Quadro FX 380M",NA,120
"Radeon HD 2400",88.2,120
"Extreme AX850 PRO",NA,120
"GeForce 405",24.64,119
"Radeon HD 2400 XT",NA,118
"RV530 PRO",NA,118
"Radeon HD 3470",109.65,118
"Qualcomm Adreno 540 GPU",NA,118
"GeForce 505",115.06,118
"FireMV 2260",88.08,117
"Mobile Intel 45 Express-Chipsatzfamilie",NA,117
"PHDGD Quantic C3",NA,116
"Radeon X1700 Targa Edition",NA,116
"GeForce G210M",NA,116
"NVS 3100M",NA,116
"FireGL V7200",NA,116
"GeForce 210",54.15,115
"Radeon X1600 XT",NA,115
"GeForce 310M",NA,115
"Radeon HD 4330",NA,115
"GeForce 8300 GS",NA,115
"GeForce 315M",NA,115
"RADEON X800 GTO",NA,114
"GeForce Go 7800",NA,114
"FireGL V5200",133.4,114
"VIA/S3 Chrome 520 IGP",NA,114
"Radeon HD 2400 Pro",NA,114
"Quadro FX 560",150.25,113
"Radeon X1950 Pro",NA,112
"GeForce G210",122.12,112
"FirePro 2260",NA,112
"GeForce 6800",559.29,112
"Sapphire RADEON X800 GT",NA,112
"Intel HD Modded",NA,112
"Radeon HD 7290",NA,111
"Radeon HD 4200",NA,111
"GeForce 9200M GS",NA,111
"Mobility Radeon HD 3400 Serisi",NA,111
"FireGL V7350",119.42,110
"Radeon HD 2600 Pro AGP",NA,110
"Radeon HD 4270",NA,109
"GeForce 6800 LE",NA,109
"VIA/S3G Chrome 645/640 GPU",NA,109
"GeForce 8400M GS",78.2,109
"Intel Media Accelerator HD",NA,108
"Quadro FX 370 LP",NA,108
"Radeon Infoshock 3000",NA,106
"Radeon X1950 GT",NA,106
"GeForce Go 6800",NA,106
"GeForce9400M",NA,105
"GeForce GT 320M",NA,105
"GeForce 9450",NA,104
"Mobility Radeon X1700",NA,104
"Radeon HD 6290",NA,104
"Quadro FX 3400/4400",NA,104
"M880G with Mobility Radeon HD 4250",NA,104
"Quadro FX 570M",NA,104
"GeForce 9500M",101.2,103
"FireGL V3400",NA,103
"Quadro FX 370 Low Profile",NA,102
"Quadro NVS 420",150,102
"GeForce 6800 GS/XT",NA,102
"GeForce 9300 GS",59.95,102
"Mobility Radeon HD 2400 XT",NA,102
"Quadro FX Go1400",NA,101
"GeForce 8300",22.68,101
"GeForce 9400M",NA,101
"Quadro FX 4000",NA,101
"Matrox G200e WDDM 2.0",NA,100
"GeForce 9300M GS",43.42,100
"Radeon X1600 Pro",NA,98
"GeForce 9400",NA,98
"Mobility Radeon HD 4250",NA,98
"Radeon 3000",319,98
"Mobility Radeon HD 3430",NA,98
"ION LE",NA,97
"GeForce 9300GE",97.2,97
"RADEON X800 XT",NA,97
"Quadro NVS 130M",NA,97
"Mobility Radeon HD serie 4200",NA,96
"Radeon HD 3000",NA,95
"GeForce 6700 XL",NA,95
"MEDION RADEON X740XL",NA,94
"Quadro NVS 295",63,94
"Mobility Radeon HD 3470 Hybrid X2",NA,93
"Radeon HD 6250",NA,93
"Mobility Radeon HD 3470",NA,93
"Quadro FX 370M",NA,93
"Mobility Radeon HD 4270",NA,92
"M880G with Mobility Radeon HD 4200",NA,92
"FireGL V5100",114.96,92
"Mobility Radeon X1600",NA,92
"nForce 780a SLI",NA,92
"GeForce 8600 GS",NA,91
"RADEON X600XT",NA,91
"GeForce G205M",NA,91
"Mobility Radeon HD 3450",NA,91
"Mobility Radeon HD 4200",NA,90
"GeForce 8600M GT",108.1,89
"Mobility Radeon HD 2400",NA,89
"Matrox G200eW3 WDDM 2.0",NA,89
"GeForce 7500 LE",NA,89
"GeForce 6610 XL",NA,88
"Quadro FX 360M",NA,86
"GeForce 6600",264,86
"Quadro FX 350",NA,85
"FireGL V3200",NA,84
"Radeon X1650 Pro",160.89,84
"GeForce 9300M G",NA,84
"ALL-IN-WONDER X800 GT",NA,84
"Radeon X1300 PRO",NA,84
"ION",229.99,84
"RADEON X800 GT",NA,84
"GeForce 999 GTX",NA,83
"Quadro FX 370",125,83
"nForce 750a SLI",NA,83
"ZX C-960",NA,82
"Radeon HD 3200",NA,82
"GeForce 9100",NA,81
"RADEON X850 XT Platinum Edition",NA,81
"Mobility Radeon X2500",NA,81
"MOBILITY FireGL V5000",NA,81
"GeForce 9300 SE",NA,81
"nForce 980a/780a SLI",NA,81
"GeForce 8400",589.99,81
"RADEON X800 XT Platinum Edition",NA,81
"Mobility Radeon 4100",NA,81
"RADEON X850 XT",NA,81
"Quadro FX 540",59.99,80
"GeForce 9300 GE",22.99,80
"GeForce 7300 LE",32,80
"RADEON X800GT",NA,79
"GeForce 8100 / nForce 720a",NA,79
"GeForce 7300 GS",NA,78
"Quadro NVS 140M",NA,78
"Intel Q35 Express",NA,77
"Radeon HD 2350",NA,76
"RADEON X700 PRO",NA,75
"M860G with Mobility Radeon 4100",NA,75
"Radeon X1650 GTO",NA,74
"GeForce 7350 LE",NA,74
"FireMV 2450",NA,73
"Radeon 3100",189.15,73
"RADEON X800 PRO/GTO",NA,73
"Mobility Radeon HD 4300 Serisi",NA,73
"RADEON X850 PRO",NA,72
"RADEON X700",NA,72
"FireGL V7100",328.67,71
"MEDION RADEON 9800 XXL",NA,71
"M880G with Mobility Radeon HD 4225",NA,71
"RADEON X700 SE",NA,71
"Radeon X1650 SE",NA,71
"Radeon X550XTX",NA,70
"FireGL V3300",NA,70
"GeForce 8600M GS",NA,70
"Quadro NVS 150M",NA,70
"Diamond X1300-PCIE 256MB",NA,70
"BASICDISPLAY",NA,69
"GeForce Go 6600",NA,69
"RADEON X800 XL",NA,69
"Radeon X1600 Pro / X1300XT",NA,69
"Quadro FX 3000",166.61,69
"FireGL V3350",NA,68
"GeForce 8400 SE",NA,68
"GeForce 9100M G",NA,68
"Intel G45/G43/G41 Express Chipset",NA,67
"Matrox G200eR WDDM 2.0",NA,67
"GeForce 9400M G",NA,67
"RADEON X600 PRO",160.49,67
"Quadro NVS 450",431.73,66
"MOBILITY RADEON X700",NA,66
"GeForce 8400M GT",NA,66
"Radeon X1550",155,66
"Mobility Radeon HD 4225",NA,66
"GeForce Go 7400",NA,65
"RADEON X800 PRO",NA,64
"Quadro FX 550",287.82,63
"GeForce G 105M",NA,62
"Mobility Radeon HD 3410",NA,62
"Intel HD manual-15.28-1861",NA,62
"GeForce G 103M",NA,62
"MOBILITY FireGL V3200",NA,62
"SAPPHIRE Radeon X1550",NA,61
"MOBILITY RADEON X700 XL",NA,59
"Radeon 2100",190.99,59
"RADEON 9800 PRO",NA,59
"Matrox G200e WDDM 1.2",NA,59
"GeForce FX 5950 Ultra",NA,59
"FireGL X1",NA,59
"GeForce 6800 XE",NA,58
"GeForce 8400M G",NA,58
"Radeon X1300",95.78,58
"GeForce 8200M G",NA,58
"Intel - Express Chipset Q45/Q43",NA,57
"RADEON 9800",325,57
"Intel G41 Express-Chipsatz",NA,57
"Intel Q45/Q43 Express-Chipsatz",NA,57
"RADEON 9800 XT",NA,56
"Intel - Express Chipset G41",NA,56
"RADEON X600 256MB HyperMemory",NA,56
"RADEON X550XT",NA,56
"RADEON 9700 PRO",NA,53
"GeForce 6200 TurboCache",NA,53
"FireGL V3100",NA,52
"Radeon Xpress 1300",NA,52
"GeForce Go 7300",NA,52
"Matrox G200eh WDDM 1.2",NA,51
"RADEON E2400",NA,51
"GeForce FX Go5700",NA,51
"GeForce 6600 LE",NA,51
"GeForce 7100 GS",NA,51
"FirePro 2450",89.99,51
"RADEON X550",NA,50
"Mobility Radeon HD 2300",NA,50
"Quadro NVS 135M",NA,50
"MOBILITY RADEON X600",NA,50
"Matrox G200eW WDDM 1.2",NA,50
"Radeon X1600",NA,49
"MOBILITY RADEON X600 SE",NA,49
"Radeon X1050",NA,49
"RADEON X600 SE",56.18,49
"Mobility Radeon X2300 HD",NA,48
"Mobility Radeon X2300",NA,48
"GeForce 7300 SE/7200 GS",NA,47
"Radeon X1550 64-bit",NA,47
"Quadro NVS 110M",NA,47
"Mobile Intel 965 Express",NA,47
"SAPPHIRE RADEON 9600 ATLANTIS",NA,47
"Quadro NVS 120M",NA,46
"Intel G33/G31 Express",NA,46
"Matrox G200eh WDDM 2.0",NA,46
"MOBILITY RADEON 9800",NA,46
"FireMV 2250",104,45
"Matrox G200eR WDDM 1.2",NA,45
"GeForce Go 7200",NA,45
"MOBILITY FireGL V5200",NA,44
"GeForce Go 6600 TE/6200 TE",NA,44
"Quadro FX 350M",NA,44
"Mobile Intel serie 4 Express",NA,44
"Mobile Intel 4 Express-Chipsatzfamilie",NA,44
"Radeon 9700 TX w/TV-Out",NA,44
"Matrox M9188 ATX PCIe x16",NA,43
"Mobility Radeon X1400",NA,42
"RADEON 9600 PRO",NA,42
"Radeon Xpress 1250",NA,42
"Matrox M9138 LP PCIe x16",NA,42
"Quadro NVS 285",169.86,42
"GeForce 7100 / nForce 630i",NA,41
"RADEON 9500 PRO / 9700",NA,41
"Mobile Intel 45 Express",NA,41
"GeForce 7050 / nForce 620i",NA,41
"GeForce FX 5900 Ultra",NA,41
"GeForce FX 5700",NA,40
"MOBILITY FIREGL T2",NA,40
"Matrox G200eh",NA,40
"Radeon Xpress 1300M",NA,40
"Matrox M9148 LP PCIe x16",NA,40
"GeForce FX 5900XT",NA,40
"Mobility Radeon X1350",NA,39
"Matrox G200eW",NA,39
"Mobility Radeon X1300",NA,39
"S3 Chrome 430 ULP",NA,39
"MOBILITY RADEON 9600/9700",NA,39
"GeForce 7300 SE",NA,39
"Mobile Intel - famiglia Express Chipset 45",NA,38
"GeForce 6500",NA,38
"Quadro NVS 285 128MB",55,38
"RADEON X300SE",NA,38
"GeForce 7050 / nForce 630i",NA,37
"256MB DDR Radeon 9800 XT",NA,37
"Quadro NVS 440",228.87,37
"GeForce 6200",53.17,37
"Radeon X1250",NA,37
"GeForce 6200SE TurboCache",NA,37
"Matrox G200eR",NA,36
"CONNECT 3D RADEON X300",NA,36
"RADEON 9500",40.5,36
"FireMV 2200 PCIe",89.99,36
"MOBILITY RADEON 9600",NA,36
"Quadro FX 1100",212.99,35
"Radeon Xpress 1200",NA,35
"RADEON 9600 XT",NA,35
"GeForce PCX 5750",NA,34
"RADEON 9550",291.74,34
"GeForce FX 5900",NA,34
"Quadro FX 1300",NA,34
"Quadro FX 1000",NA,34
"GeForce FX 5700 Ultra",NA,34
"GeForce PCX 5900",NA,34
"Radeon Xpress 1100",NA,34
"MOBILITY RADEON X300",NA,33
"MOBILITY FIREGL T2/T2e",NA,33
"S3 Chrome S27 DDR3",NA,33
"GeForce 6150 LE",NA,33
"Mobility Radeon X1450",NA,33
"GeForce FX 5700VE",NA,33
"GeForce 7150 / nForce 630i",NA,33
"Intel Media Accelerator",NA,32
"GeForce 7025 / nForce 630a",NA,32
"GeForce FX 5900ZT",NA,32
"Radeon X1200",NA,32
"GeForce 6200 A-LE",NA,32
"Matrox M9128 LP PCIe x16",NA,31
"Red Hat QXL controller",NA,31
"GeForce 7050 PV / nForce 630a",NA,31
"Radeon X1270",NA,31
"GeForce 6150SE nForce 430",NA,30
"FireGL T2-128",NA,30
"MOBILITY RADEON 9550",NA,30
"All-in-Wonder X1800XL",NA,30
"Radeon Xpress 1150",NA,29
"RADEON XPRESS 200",NA,29
"Radeon 9550 / X1050",NA,29
"GeForce 6200 LE",41.24,27
"MOBILITY RADEON 9700",NA,27
"MOBILITY FireGL V5250",NA,27
"RADEON 9600SE",NA,27
"GeForce 6100",NA,27
"MOBILITY RADEON XPRESS 200",NA,27
"GeForce 6100 nForce 405",NA,26
"RADEON 9600 PRO Family",NA,26
"Radeon Xpress 1270",NA,26
"GeForce 7100 / nForce 620i",NA,26
"PHDGD Sapphire GR for Mobile Intel 965",NA,25
"Matrox M9120 Plus LP PCIe x16",NA,25
"GeForce 7050 / nForce 610i",NA,25
"Matrox M9125 PCIe x16",NA,25
"GeForce 6100 nForce 420",NA,25
"GeForce 6100 nForce 400",NA,25
"RADEON 9600 Family",NA,25
"MOBILITY RADEON 9600 PRO TURBO",NA,24
"GeForce 6150SE",NA,24
"GeForce FX 5700LE",NA,24
"GeForce Go 6400",NA,24
"Mobile Intel 965 Express-Chipsatzfamilie",NA,24
"Quadro NVS 210S",NA,23
"RADEON 9800 SE",NA,23
"Matrox M9140 LP PCIe x16",NA,23
"ALL-IN-WONDER 9800",NA,23
"GeForce 7200 GS",NA,23
"GeForce 6100 nForce 430",NA,23
"S3 Chrome S25",NA,22
"RADEON A9800XT",NA,22
"RADEON XPRESS 200M",NA,22
"GeForce 6150",329,21
"Quadro NVS 210S / GeForce 6150LE",NA,20
"PHDGD Solo 2 x64",NA,20
"Matrox M9120 PCIe x16",NA,19
"GeForce Go 6150",NA,19
"QXL KMDOD",NA,18
"S3 Chrome S25 DDR2",NA,18
"RADEON 9600 TX Family",NA,18
"GeForce 7150M / nForce 630M",NA,18
"RADEON XPRESS 200 CROSSFIRE",NA,18
"Quadro FX 2000",NA,18
"GeForce Go 6100",NA,17
"GeForce FX Go 5600",NA,17
"Mobile Intel965 Express",NA,17
"GeForce FX 5600 Ultra",NA,17
"GeForce FX Go5650",NA,16
"GRID V100-8Q",NA,16
"NV44",NA,15
"GeForce Go 6200",NA,15
"Quadro FX 500/600 PCI",NA,14
"Radeon HD 2400 PCI",NA,14
"GeForce 7000M",NA,13
"GeForce 7000M / nForce 610M",NA,12
"GeForce FX 5600",NA,12
"GeForce FX Go5300",NA,12
"GeForce FX 5200 Ultra",NA,12
"GeForce FX 5200SE",NA,11
"FireMV 2400 PCIe",NA,11
"RGH Drivers v3",NA,11
"PHDGD Solo 1.2.0 x86",NA,11
"Intel 82945G Express",NA,10
"Master X3100 Driver",NA,10
"MOBILITY IGP 9000/9100",NA,10
"Matrox Parhelia 256MB",NA,9
"VIA Chrome9 HD IGP",NA,9
"ASUS A7000",NA,9
"GeForce FX 5600XT",NA,9
"GeCube RADEON 7000",NA,8
"GeForce FX Go 5200",NA,8
"Intel Q35 Embedded",NA,8
"GeForce FX 5500",153.97,8
"Mobile Intel 965 Express - BR-0907-0461 v1839",NA,8
"Quadro NVS 280 PCI",130,8
"Intel 82945G Express-Chipsatzfamilie",NA,8
"MOBILITY RADEON 9000 IGP",NA,7
"GeForce FX 5100",NA,7
"ASUS V9520-X V62.11",NA,7
"Quadro FX 500/FX 600",NA,7
"GeForce FX 5200",129,7
"Intel US15 Embedded Media and Controller",NA,7
"Intel Q33 Express",NA,7
"GeForce4 Ti 4400",NA,7
"GeForce FX 5200LE",42.99,7
"Intel Media Accelerator 600",NA,6
"GeForce4 Ti 4800 SE",NA,6
"Matrox Millennium P690 Plus LP PCIe x16",NA,6
"Quadro4 380 XGL",NA,6
"RADEON 8500 Family",NA,6
"GeForce4 MX Integrated GPU",NA,6
"V9560XT",NA,6
"GeForce2 Ultra",NA,6
"MOBILITY RADEON 7000 IGP",NA,6
"GeForce PCX 5300",NA,6
"RADEON 9100 Family",NA,6
"Quadro NVS 55/280 PCI",NA,6
"RADEON IGP 350M",NA,6
"GeForce4 440 Go 64M",NA,5
"VIA/S3G UniChromeII",NA,5
"GeForce4 Ti 4800",NA,5
"Mobile Intel 945GM Express",NA,5
"Quadro 280 NVS PCIe",NA,5
"NVIDIA GeForce3 Ti200",NA,5
"Intel 82915G Express",NA,5
"MOBILITY RADEON 9000/9100 IGP",NA,5
"Matrox Parhelia APVe",NA,5
"ALL-IN-WONDER RADEON 8500DV",NA,5
"GeForce4 Ti 4200",NA,5
"GeForce4 448 Go",NA,5
"GeForce4 Ti 4600",53.99,5
"RADEON 9100 IGP",NA,5
"GeForce4 420 Go 32M",NA,5
"Matrox Millennium P650 PCIe 128",NA,5
"Mobile Intel 945GM/GU Express",NA,5
"SAPPHIRE RADEON 9000 ATLANTIS PRO",NA,5
"Xabre",NA,5
"GeForce 256",42.04,5
"Quadro4 980 XGL",341.43,5
"GeForce4 440",NA,4
"Quadro4 900 XGL",NA,4
"ALL-IN-WONDER 9000",NA,4
"GeForce3",NA,4
"GeForce4 MX 440 with AGP8X",NA,4
"WinFast A250 LE",NA,4
"GeForce2 MX with DVI-D and TV-out",NA,4
"GeForce4 MX 420",NA,4
"MOBILITY FIREGL 7800",NA,4
"RADEON 7500 Family",NA,4
"VIA/S3G UniChrome Pro IGP",NA,4
"Intel 82865G Controller",NA,4
"Intel 915G/915GV/910GL Embedded Controller Functio",NA,4
"RADEON 9000",NA,4
"GeForce2 Ti",NA,4
"XGI Volari Family v1.13.23.D_V",NA,4
"GeForce4 MX 440SE",NA,4
"GeForce4 MX 440",NA,4
"Quadro2 MXR/EX",NA,4
"Intel 945G Embedded Chipset Function 0",NA,4
"GeForce4 MX 4000",NA,4
"ASUS AGP-V3800PRO v31.40H",NA,4
"GeForce2 Integrated GPU",NA,4
"Dell 8200",NA,4
"VIA Chrome9 HC IGP",NA,4
"VIA/S3G UniChrome IGP",NA,4
"GeForce4 MX 460",NA,4
"GeForce2 Go",NA,4
"MOBILITY/RADEON 9000",NA,4
"GeForce3 Ti 200",NA,4
"VIA/S3G KM400/KN400",NA,4
"Intel 915G,910G Express",NA,4
"GeForce2 GTS/GeForce2 Pro",NA,3
"GeForce4 4200 Go",NA,3
"GeForce2 MX/MX 400",NA,3
"ABIT Siluro T400",NA,3
"VIA Chrome9 HC IGP Family",NA,3
"RADEON 7000 / RADEON VE Family",NA,3
"RIVA TNT2 Model 64/Model 64 Pro",NA,3
"RADEON IGP 320",NA,3
"GeForce4 440 Go",NA,3
"Intel 82915G/915GV/910GL",NA,3
"Intel 865 Embedded Controller",NA,3
"GeForce 6200A",54.99,3
"RADEON 9200",153.63,3
"MOBILITY RADEON 7500",NA,3
"Radeon IGP 320M",NA,3
"RADEON 9000 Family",NA,3
"VIA Chrome9 HC IGP Family WDDM",NA,3
"Intel Media Accelerator 500",NA,3
"RIVA TNT2/TNT2 Pro",NA,3
"Matrox Parhelia 128MB",393.99,3
"VIA Chrome9 HC IGP WDDM 1.1",NA,3
"GeForce4 420 Go",NA,3
"VIA/S3G DeltaChrome IGP",NA,3
"MOBILITY RADEON 9000",NA,3
"GeForce2 MX 100/200",NA,3
"Intel 946GZ Embedded Chipset",NA,3
"RADEON 7500",177.25,3
"S3 Inc. Savage4",NA,3
"AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI",NA,3
"Rage Fury Pro/Xpert 2000 Pro",NA,3
"Intel 82915G/GV/910GL Express",NA,3
"Vanta/Vanta LT",NA,3
"MOBILITY RADEON 9200",NA,3
"MOBILITY RADEON 9100 IGP",NA,2
"Intel Media Accelerator 3150",NA,2
"Intel 82845G/GL/GE/PE/GV Controller",NA,2
"RADEON 7200",599.99,2
"RADEON 9200 PRO Family",NA,2
"VIA Chrome9 HC IGP WDDM",NA,2
"GeForce2 MX",NA,2
"RADEON IGP 345M",NA,2
"Radeon 7000 / Radeon VE",NA,2
"VIA Chrome9 HC3 IGP",NA,2
"Intel 82915G/GV/910GL Advanced v3.5",NA,2
"Intel 82845G/GL Controller",NA,2
"RADEON 9200 LE Family",NA,2
"RADEON 9250",194,2
"Intel 946GZ Express",NA,2
"GeForce2 MX with TV Out",NA,2
"RADEON 9200 SE",NA,2
"GeForce3 Ti 500",NA,2
"Intel GMA 3150 Express",NA,2
"Radeon IGP 340M",NA,2
"Quadro NVS 280 SD",NA,2
"Dell 8100",999.11,2
"VIA Chrome9 HC IGP Prerelease WDDM 1.1",NA,2
"Intel 82845G Controller",NA,2
"Radeon VE",NA,2
"Intel Extreme Controller",NA,1
"S3 SuperSavage/IXC 1014",NA,1
"VisionTek Radeon 7000",NA,1
"Mobile Intel 915GM/GMS/910GML Express",NA,1
"Mobile Intel 945 Express",NA,1
"VIA Chrome9 HCM IGP",NA,1
"RADEON IGP 34xM",NA,1
"S3 ProSavageDDR",NA,1
"Rage 128 Pro",NA,1
"VIA Chrome9 HC3 IGP WDDM 1.1",NA,1
"Intel 82852/82855 GM/GME Controller",NA,1
"RAGE 128 PRO AGP 4X TMDS",NA,1
"Quadro2 Pro",NA,1
"FireMV 2200 PCI",NA,1
